id,value,feed_id,created_at,lat,lon,ele
0FDVZ390B8RWV2AFXVFMV85MBF,Co khau trang,2630370,2023-10-10 11:49:27 UTC,,,
0FDVZ3AK1SED8WKSC70QCAZNK4,Khong khau trang,2630370,2023-10-10 11:49:32 UTC,,,
0FDVZ3C3V500N89A0M5EWQ4K1E,Khong khau trang,2630370,2023-10-10 11:49:37 UTC,,,
0FDVZ3DPV4GQBK7Q24C3TD0YCY,Khong khau trang,2630370,2023-10-10 11:49:42 UTC,,,
0FDVZ3F649NBP24EMRFDK9MWQ1,Khong khau trang,2630370,2023-10-10 11:49:47 UTC,,,
0FDVZ3GSD7SQR2FA3152VQP7KF,Khong khau trang,2630370,2023-10-10 11:49:52 UTC,,,
0FDVZ3V8HTBZXZ67BPX2ASF8Z7,Khong khau trang,2630370,2023-10-10 11:50:27 UTC,,,
0FDVZ3WT6DDTRY6080E04GQYEY,Co khau trang,2630370,2023-10-10 11:50:32 UTC,,,
0FDVZ3YAEHMZ16Z5PXP65JSCHB,Co khau trang,2630370,2023-10-10 11:50:37 UTC,,,
0FDVZ3ZXDQCNXQQS7TEX8BH3VY,Co khau trang,2630370,2023-10-10 11:50:42 UTC,,,
0FDVZ6EHSZ8JAVF83N1CK1WQ6K,Co khau trang,2630370,2023-10-10 11:55:00 UTC,,,
0FDVZ6GCKQ0YCPPEXATF1PBRNB,Khong khau trang,2630370,2023-10-10 11:55:06 UTC,,,
0FDVZB3ZZE8TEKXA77GAKBK8GQ,Khong khau trang,2630370,2023-10-10 12:03:09 UTC,,,
0FDVZCWBPCHA7K6M115PXMCZ06,Khong co nguoi,2630370,2023-10-10 12:06:14 UTC,,,
0FDVZV89EEHDRTBAT0ETDK0847,Khong co nguoi,2630370,2023-10-10 12:31:21 UTC,,,
0FDVZVG364MH1GPPXBC01PYZTE,Khong khau trang,2630370,2023-10-10 12:31:47 UTC,,,
0FDVZVK71E93MSH2EE8716SWD4,Co khau trang,2630370,2023-10-10 12:31:57 UTC,,,
0FDW041J9AN97S98SBCBP3V5S2,Co khau trang,2630370,2023-10-10 12:46:43 UTC,,,
0FDW0434P7TTQX6ACR73SPEAEF,Khong khau trang,2630370,2023-10-10 12:46:48 UTC,,,
0FDW046971MJBQ4XK8PBAV8S9D,Co khau trang,2630370,2023-10-10 12:46:58 UTC,,,
0FDW047XANNC32SWQKMK5NTJ5Y,Khong khau trang,2630370,2023-10-10 12:47:04 UTC,,,
